file,ne1,type1,cnt-1,ne2,type2,cnt-2,ne3,type3,cnt-3,ne4,type4,cnt-4,ne5,type5,cnt-5,ne6,type6,cnt-6,ne7,type7,cnt-7,ne8,type8,cnt-8,ne9,type9,cnt-9,ne10,type10,cnt-10,ne11,type11,cnt-11,ne12,type12,cnt-12,ne13,type13,cnt-13,ne14,type14,cnt-14,ne15,type15,cnt-15,ne16,type16,cnt-16,ne17,type17,cnt-17,ne18,type18,cnt-18,ne19,type19,cnt-19,ne20,type20,cnt-20
CTX192200354,3,Itemizer (1.),1,1922,Year,1,Státní památkový úřad,Organization/Society,1,ZAElá,Organization/Society,1,Praha,Settlement name (City/Town),1,Strahov,Urban geographical name (Street/Square),1,35,Cardinal number,1,Drotokolu,Settlement name (City/Town),1,Krásku u Ml.Boleslavi,Settlement name (City/Town),1,2278,Number expression (General),1,29 . IX . t .,Complex time expressions,1,297 / 227,Number expression (General),1,St . památkový úřad,Organization/Society,1,Horním Krnsku,Settlement name (City/Town),1,M1.Bo - lealavi,Geographical name (General),1,Státnímu památkovému ' úřadu v Praze,Organization/Society,1,10.VI .,Complex time expressions,1,21.VI . t . r . č,Complex time expressions,1,.,"Directives, norms",1,1981 / 22,Complex time expressions,1
CTX192300075,3,Number expression (General),2,1,Cardinal number,2,NÁRODNÍ OSVĚTY,Organization/Society,1,PRAZE,Settlement name (City/Town),1,l.unora 192.3 .,Complex time expressions,1,128469 / 22,Number expression (General),1,STÁTNÍ ARCHAEOLOOICKÝ Ú,Cult/Educational institution,1,76933,Number expression (General),1,7,Number expression (General),1,Státnímu pozemkov & mi uřadu,Organization/Society,1,Bedřiche Lonské,Complex personal names,1,Květoněm,Surname,1,477,Year,1,1472,Year,1,Mikuláše z Landštejna,Complex personal names,1,Šlechty,Personal name (General),1,Bíndelového krytu,Cultural artifact (Book/Painting),1,20,Volu-metric number,1,1,Itemizer (1.),1,Stát * ním archae o logickým ústavem v Prase,Cult/Educational institution,1
CTX192300220,Svojšic,Settlement name (City/Town),2,Praze,Settlement name (City/Town),2,cm,Measure unit,2,Okresní správa politická v Kolíně,Organization/Society,1,19120 / 2,Number expression (General),1,24 . března 1923,Complex time expressions,1,15 . března 1923,Complex time expressions,1,Svoj - šic,Settlement name (City/Town),1,sv . Václava,Relig./myth persons,1,1,Cardinal number,1,m,Measure unit,1,60,Cardinal number,1,František Kruliš,Complex personal names,1,Viktora Ňepky,Complex personal names,1,Lužičanů,Inhabitant name,1,14388 / 23 - V,Number expression (General),1,30 . dubna 1923,Complex time expressions,1,Státnímu archaeologickému ústavu v Pra z e IV - Str ahov,Cult/Educational institution,1,,,0,,,0
CTX192300239,1,Number expression (General),2,Svojšicích,Settlement name (City/Town),2,Praze,Settlement name (City/Town),2,3,Number expression (General),1,3210,Number expression (General),1,1028,Number expression (General),1,231,Itemizer (1.),1,p.Fr . Kruliše,Complex personal names,1,5.20,Number expression (General),1,Kolína,Settlement name (City/Town),1,p.Fr . Kruliš,Complex personal names,1,Alois Kru Kruhostinský,Complex personal names,1,44,Number expression (General),1,231,Number expression (General),1,Svojšic,Settlement name (City/Town),1,11.kv ětna 1923,Complex time expressions,1,VL .,First name,1,,,0,,,0,,,0
CTX192300400,1923,Year,3,Karel Křenek,Complex personal names,1,1,Itemizer (1.),1,Kostic n / Ohří,Settlement name (City/Town),1,388 / 23,Number expression (General),1,I .,Volu-metric number,1,II .,Volu-metric number,1,1,Number expression (General),1,4,Number expression (General),1,192,Number expression (General),1,Libochovicích,Settlement name (City/Town),1,K . Kře - nek,Complex personal names,1,Koštic n / OhHí,Settlement name (City/Town),1,"0 , 4",Cardinal number,1,19.43,Hour,1,Podet příloh,Cultural artifact (Book/Painting),1,,,0,,,0,,,0,,,0
CTX192300464,Hrobce,Settlement name (City/Town),5,Praze,Settlement name (City/Town),2,1,Cardinal number,2,2003,Year,1,464 / 33,Number expression (General),1,Roudnice I / L .,Settlement name (City/Town),1,Odborem pro udržování dráhy v Kralupech n / Vlt,Organization/Society,1,"Čsl . stát . arch , ustavu",Organization/Society,1,J . A . Jíra,Complex personal names,1,21 . IX . 1923,Complex time expressions,1,St . A .,Settlement name (City/Town),1,Jíra,Surname,1,září 1923,Complex time expressions,1,2281.9 - * * * * * * * * *,Number expression (General),1,Kralupech n / Vlt .,Settlement name (City/Town),1,1989,Year,1,Státní archaeclogický ústav v Praze,Cult/Educational institution,1,709 / 24,Number expression (General),1,Roudnice,Settlement name (City/Town),1,Kralupech nadVlt .,Settlement name (City/Town),1
CTX192300479,1923,Year,2,14,Cardinal number,2,9,Volu-metric number,1,23,Volu-metric number,1,P raz e,Settlement name (City/Town),1,15.IX . 1923 0 : 01217 : 77 . 1923,Complex time expressions,1,Jaroslav Retrbok,Complex personal names,1,‘raha II .,Personal name (General),1,Č .220,Personal name (General),1,J . Petrbok,Complex personal names,1,Kodě,States/Provinces/Regions,1,J.Petrbok zasílá,Complex personal names,1,Kodě,Settlement name (City/Town),1,1,Itemizer (1.),1,181933,Year,1,723,Number expression (General),1,J .,First name,1,Praze,Settlement name (City/Town),1,12 . říjila 1923,Complex time expressions,1,Ústavu,Cult/Educational institution,1
CTX192300551,26 . července 1922,Complex time expressions,3,1922,Year,2,Horním Jiřetíně,Settlement name (City/Town),2,Praze,Settlement name (City/Town),2,Ministerstvo školství a národ Vec úřední poštovného prosia,Organization/Society,1,PRAZE,Settlement name (City/Town),1,210,Number expression (General),1,551 / 23,Number expression (General),1,Jupiter,Geographical name (General),1,Ministerstvo šk . a n . o .,Organization/Society,1,Kanceláři k qopis y,Organization/Society,1,Mostě,Settlement name (City/Town),1,Severočeské uhlář - ské společnosti,Cult/Educational institution,1,Jupiter,Nature/Landscape name (Mountain/River),1,"ing . "" liegl",Complex personal names,1,ing . Ant . Groglerovi,Complex personal names,1,Záluží,Settlement name (City/Town),1,Musea král,Cult/Educational institution,1,19,Number expression (General),1,MOs t ě,Settlement name (City/Town),1
CTX192300563,2,Cardinal number,3,6,Cardinal number,2,Nučic,Settlement name (City/Town),2,19,Year,1,5 . 563 / 23,Complex time expressions,1,stítní archaeologický ústav v ť r a s,Cult/Educational institution,1,36,Number expression (General),1,30 . X . 1923,Complex time expressions,1,1923,Year,1,Josef Choc,Complex personal names,1,Lodenice,Settlement name (City/Town),1,627,Number expression (General),1,Berouna,Settlement name (City/Town),1,"J.Ghoc , Lodenice",Complex personal names,1,J.Choc .,Complex personal names,1,Loděnic u Berouna,Settlement name (City/Town),1,Loděnic,Settlement name (City/Town),1,Praze,Settlement name (City/Town),1,8 . listopadu 1923,Complex time expressions,1,Loděnice,Settlement name (City/Town),1
CTX192300587,Kč,Currency,5,h,Measure unit,4,1923,Year,2,kg,Measure unit,2,7,Cardinal number,2,20,Cardinal number,2,40,Cardinal number,2,Československé statní dráhy,Cultural artifact (Book/Painting),1,"Atoe - - - - - - - - - - o — - • - - - - - - - - - - - - - - , státní nádraží",Cultural artifact (Book/Painting),1,4 7 9,Number expression (General),1,42 / 24,Number expression (General),1,lodasjunis Coyw 7 - Státní nádraží Smíchov,Complex Address/Number/Time,1,Kar KarTýna,Settlement name (City/Town),1,13.XI . 1923,Complex time expressions,1,568,Number expression (General),1,Fr . Novák,Complex personal names,1,Tetíně,Settlement name (City/Town),1,77,Cardinal number,1,795,Cardinal number,1,80,Cardinal number,1
CTX192300603,Litomřicích,Settlement name (City/Town),2,Zitenicích,Settlement name (City/Town),2,1923,Year,1,8.list 1 adu 1923,Complex time expressions,1,Strahov,Cult/Educational institution,1,22 . zát 1923,Complex time expressions,1,94180 / 9 ai 1923,Number expression (General),1,0 4 4 O,Number expression (General),1,2,Number expression (General),1,3,Number expression (General),1,800,Number expression (General),1,8,Itemizer (1.),1,Okresní správa politická v Litoměřicích,Organization/Society,1,1922,Year,1,1921,Year,1,Vincenee Lehmana,Complex personal names,1,Václava Širokého,Complex personal names,1,Pokraticích,Settlement name (City/Town),1,63,Number expression (General),1,Pokratic,Settlement name (City/Town),1
CTX192300604,Praze,Settlement name (City/Town),3,Boru,Settlement name (City/Town),3,Stračova,Settlement name (City/Town),3,3,Cardinal number,3,1922,Year,3,1923,Year,2,8,Number expression (General),2,Hradci Králové,Settlement name (City/Town),2,2,Cardinal number,2,8.XI . 1923,Complex time expressions,1,115.,Number expression (General),1,738 / 23,Number expression (General),1,Ministerstvo školství a ná - . _ 3984,Organization/Society,1,Min . šk . a n . o .,Company/Firm,1,Csl . zemského velitelství četnického v Praze,Organization/Society,1,Odd.Hradec Králové,Organization/Society,1,22 . X . 1921,Complex time expressions,1,11,Number expression (General),1,1,Number expression (General),1,Harracho - vi,Surname,1
CTX192400046,1924,Year,3,Praze,Settlement name (City/Town),2,Hošíky,Settlement name (City/Town),2,55,Cardinal number,1,11994,Cardinal number,1,46 / 2,Number expression (General),1,49,Itemizer (1.),1,Nérodních Listech,Cultural artifact (Book/Painting),1,15 . ledna 1924,Complex time expressions,1,Jíl,Surname,1,Školy,Cult/Educational institution,1,Hoštce u Stětí n . L .,Settlement name (City/Town),1,Veležicích,Settlement name (City/Town),1,Dubá,Settlement name (City/Town),1,10,Cardinal number,1,t . m .,Measure unit,1,IS,Surname,1,Cakovic,Settlement name (City/Town),1,1,Cardinal number,1,m,Measure unit,1
CTX192400238,2,Number expression (General),2,Praze,Settlement name (City/Town),1,3,Number expression (General),1,4,Number expression (General),1,243,Number expression (General),1,7.5,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192400245,Praze,Settlement name (City/Town),1,1924,Year,1,3 7,Number expression (General),1,15 . IV . 1924,Complex time expressions,1,16.IV - 1924,Complex time expressions,1,Kralupech,Settlement name (City/Town),1,Kralupech nad Vlt,Settlement name (City/Town),1,Hrobcích nad Labem,Settlement name (City/Town),1,Odboru pro udržování drá - anceláři k zíznemnu hy v Kralupech n . / Vlt,Organization/Society,1,Hrobcích n . / L .,Settlement name (City/Town),1,16 . dubna 245 e 1 1924,Complex time expressions,1,Hrobcích n . / L,Settlement name (City/Town),1,Státního archaeqlogického ústavu ol 22,Cult/Educational institution,1,m,Measure unit,1,Hrobcích,Urban geographical name (Street/Square),1,Národního Musea,Cult/Educational institution,1,Hrob - - cích,Settlement name (City/Town),1,4,Cardinal number,1,2,Number expression (General),1,3,Cardinal number,1
CTX192400352,J . Černík,Complex personal names,2,2,Cardinal number,2,Hoštky,Settlement name (City/Town),2,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,6,Number expression (General),1,1011,Number expression (General),1,Státní arohaeologioký ústav P r * a 6,Cult/Educational institution,1,33 7,Number expression (General),1,337,Number expression (General),1,Mastýřovic,Settlement name (City/Town),1,ška,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192400358,S . A . U .,Complex personal names,3,1924,Year,2,Hoštce,Settlement name (City/Town),2,ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,"6 , 1924",Complex time expressions,1,331 / 24,Number expression (General),1,J . C,Complex personal names,1,3,Cardinal number,1,192,Itemizer (1.),1,11,Number expression (General),1,Lukách,Settlement name (City/Town),1,J.Do škem,Complex personal names,1,M.Grbi,Complex personal names,1,91,Cardinal number,1,Kč,Currency,1,2,Cardinal number,1,Reibersteina,Surname,1,Švařenic,Settlement name (City/Town),1,1,Itemizer (1.),1,DošEOvi,Surname,1
CTX192400472,1924,Year,2,1,Number expression (General),2,Capuše,Nature/Landscape name (Mountain/River),2,Kódy,Nature/Landscape name (Mountain/River),2,Ústav,Cult/Educational institution,2,2,Number expression (General),1,528,Cardinal number,1,587 / 23,Number expression (General),1,2 srpna 4 . 472,Complex time expressions,1,P . T .,Complex personal names,1,JUDrem,Surname,1,V.Durasem,Complex personal names,1,Státnímu archaeologi okému ústavu,Cult/Educational institution,1,1923,Year,1,Jeskyni Capuši,Nature/Landscape name (Mountain/River),1,Ústavu,Cult/Educational institution,1,4 . 4 . 2 . srpna 2.srpna 472 af 1924,Complex time expressions,1,Capuži,Nature/Landscape name (Mountain/River),1,Kody,Settlement name (City/Town),1,Státní archaeologický ústav,Cult/Educational institution,1
CTX192500069,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,19,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500083,Hostomic,Settlement name (City/Town),2,STÁTNÍ ARCHAEOLOGICKÝ OSTAV,Cult/Educational institution,1,PRAZE,Settlement name (City/Town),1,Hostomice pod Brdy,Settlement name (City/Town),1,V.Ohlumsk ého,Complex personal names,1,1,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500197,MĚSTSKÝ ÚŘAD V LIBUŠINĚ,Organization/Society,1,1418,Year,1,1,Itemizer (1.),1,11,Volu-metric number,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,Státnímu archeologickému ustavu v P R A Z E - IV Klášter na Strahově,Cult/Educational institution,1,14 . dubna 1925,Complex time expressions,1,25,Number expression (General),1,Libušínském,Geographical name (General),1,Libušina,Settlement name (City/Town),1,Smečně,Settlement name (City/Town),1,"Vlil , přídělové listiny","Directives, norms",1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500235,Daubitz,Settlement name (City/Town),3,1925,Year,2,Warnsdorf,Settlement name (City/Town),1,14,Itemizer (1.),1,Museum,Cult/Educational institution,1,Prag,Settlement name (City/Town),1,Kreibitz,Settlement name (City/Town),1,Státní památkový úřad v Praze,Organization/Society,1,IV,Ordinal number,1,132,Ordinal number,1,1741,Year,1,Praze,Settlement name (City/Town),1,19 • května 1925,Complex time expressions,1,Státnímu archaeologickému ustavu STATN ARCHAEOLOGICKÝÚS,Organization/Society,1,Státní památkový úřad,Organization/Society,1,1923*,Year,1,STÁTNI ARCHAEOLOGICKY Ú STAV V PRAZE,"Directives, norms",1,,,0,,,0,,,0
CTX192500242,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,19,Number expression (General),1,ARCHAEOLOG,Cult/Educational institution,1,1995,Year,1,242 / 25 /,Number expression (General),1,Zátaví,Geographical name (General),1,B . Dubského,Complex personal names,1,10 . 5 . 1925,Complex time expressions,1,Kestřany,Settlement name (City/Town),1,Písek,Settlement name (City/Town),1,26.9 . 1983,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500502,192,Year,1,4,Number expression (General),1,STÁTNÍ ARCHAEOLOGICKY ÚSTAV V PRAZE,Cult/Educational institution,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500549,3,Cardinal number,2,Písku,Settlement name (City/Town),2,1923,Year,1,STATNÍ ARCHAEOLOGICKÝ USTAV V PRAZE,Cult/Educational institution,1,2 / 42,Cardinal number,1,r,Measure unit,1,44,Cardinal number,1,4,Measure unit,1,4{,Number expression (General),1,2,Number expression (General),1,19,Cardinal number,1,MĚSTSKÝ ÚŘAD V PÍSKU,Organization/Society,1,15144 / 25,Number expression (General),1,Státnímu památkovému úřadu v Praze,Organization/Society,1,Němce,Hydronym (Bodies of water),1,Dr .,Academic titles,1,August Sedláček,Complex personal names,1,Mildovi,Surname,1,7 . září 1925,Complex time expressions,1,,,0
CTX192500561,1923,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,28,Number expression (General),1,1925,Year,1,4,Cardinal number,1,7,Cardinal number,1,86644,Number expression (General),1,19,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500566,Březovci,Nature/Landscape name (Mountain/River),2,Srlíně,Settlement name (City/Town),2,STÁTNÍ ARCHAEOLO GICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,013665,Phone/Fax number,1,STÁTNÍ PAMÁTKOVÝ ÚŘAD PRO ČECHY V PRAZE,Organization/Society,1,475,Number expression (General),1,1925,Year,1,PRAHA,Settlement name (City/Town),1,2 l . března 192,Complex time expressions,1,Březovci,Urban geographical name (Street/Square),1,Bezinkách,Nature/Landscape name (Mountain/River),1,Správě obecné školy v Srlínš,Organization/Society,1,.,Itemizer (1.),1,Bezinkách,Urban geographical name (Street/Square),1,Státní památkový úřad 1,Organization/Society,1,Správa obecné školy v Srlíne,Cult/Educational institution,1,Alfonse Paara,Complex personal names,1,Opořany,Settlement name (City/Town),1,Stálec,Settlement name (City/Town),1,Jistebnice,Settlement name (City/Town),1
CTX192500601,MUSEJNÍ SPOLEK V PELHŘIMOVĚ,Cult/Educational institution,1,1,Cardinal number,1,1945,Year,1,STÁTNÍ ARCHAEOLOGICKY USTAV PRAHA IV,Cult/Educational institution,1,STRAHOV,Urban geographical name (Street/Square),1,KLÁŠTER,Urban geographical name (Street/Square),1,4573,Phone/Fax number,1,Červené Řečice,Settlement name (City/Town),1,1,Itemizer (1.),1,3,Itemizer (1.),1,7,Itemizer (1.),1,6,Itemizer (1.),1,Pelhřimově,Settlement name (City/Town),1,. . září 1925,Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX192500814,m,Measure unit,5,2,Cardinal number,4,3,Number expression (General),2,4,Number expression (General),2,1925,Year,1,STÁTNÍ ARCHAEOLOGICKÝ OSTAV V PRAZE,Cult/Educational institution,1,2,Volu-metric number,1,HRABĚŠÍN,Cultural artifact (Book/Painting),1,394 / 1,Number expression (General),1,K . Čermák,Complex personal names,1,11,Number expression (General),1,8.359,Number expression (General),1,"prof . J.Hakena , Kutná Hora",Complex personal names,1,19.listopadu 1925,Complex time expressions,1,814,Number expression (General),1,25,Number expression (General),1,Čáslav,Settlement name (City/Town),1,1,Cardinal number,1,km,Measure unit,1,Cherdbí,Settlement name (City/Town),1
CTX192600020,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,19,Itemizer (1.),1,4.1 . 1926,Complex time expressions,1,30.XII .,Complex time expressions,1,5.561,Itemizer (1.),1,Praha,Settlement name (City/Town),1,Strahov,Urban geographical name (Street/Square),1,Klášter,Urban geographical name (Street/Square),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600049,Hostíni,Settlement name (City/Town),3,Mělník,Settlement name (City/Town),3,Liblicích,Settlement name (City/Town),2,Mělníku,Settlement name (City/Town),2,192.6,Itemizer (1.),1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,15,Cardinal number,1,Státnímu památkovému uřadu ■ v V Byšicích drie,Organization/Society,1,20 . dubna 1926,Complex time expressions,1,Praze 1,Urban geographical name (Street/Square),1,Václava Novýho,Complex personal names,1,Mělníka,Settlement name (City/Town),1,Vlašská renesance,Conference/Contest,1,16* století,Ordinal number,1,Trojice,Cultural artifact (Book/Painting),1,' Hostin,Settlement name (City/Town),1,9 . března 1856,Complex time expressions,1,Hostíniykterý,Settlement name (City/Town),1,Aloisů Stráchalovi,Complex personal names,1,Hos Hosnesla,Settlement name (City/Town),1
CTX192600057,192,Year,1,6,Number expression (General),1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAVY,Cult/Educational institution,1,PRAZE,Settlement name (City/Town),1,62,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600178,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,19,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600198,Státní památkový úřad,Organization/Society,2,7,Itemizer (1.),1,STÁTNÍ PAMÁTKOVÝ ÚRAD PRO ČECHY,Organization/Society,1,PRAZE,Settlement name (City/Town),1,327,Number expression (General),1,1926,Year,1,PRAHA,Settlement name (City/Town),1,30 . ledne 192,Complex time expressions,1,6,Number expression (General),1,Tuchorazy,Settlement name (City/Town),1,13879,Number expression (General),1,9.prosinco 19 25 .,Complex time expressions,1,Státnímu archeologickému ústavu v P r a z o - IV,Cult/Educational institution,1,Státního pozemkového úřadu,Organization/Society,1,899 / 26 - 11 / 2,Number expression (General),1,Tuchoraz,Settlement name (City/Town),1,1,Itemizer (1.),1,Praze,Settlement name (City/Town),1,Národn’n . museom y Praze,Cult/Educational institution,1,2,Itemizer (1.),1
CTX192600278,2,Cardinal number,3,cm,Measure unit,3,Ústavu,Cult/Educational institution,2,Bergra,Surname,2,č . Brod,Settlement name (City/Town),2,Č . Brod,Settlement name (City/Town),2,Liblice,Settlement name (City/Town),2,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,192,Itemizer (1.),1,19,Number expression (General),1,Vykáni,Settlement name (City/Town),1,Českého Brodu,Settlement name (City/Town),1,264 / 26,Number expression (General),1,Vykáně,Settlement name (City/Town),1,6 . července,Complex time expressions,1,Ay . J 1923,Complex time expressions,1,Ústavem Mrob,Cult/Educational institution,1,Muse,Cult/Educational institution,1,Viktora Rose,Complex personal names,1
CTX192600311,Kristu,Relig./myth persons,2,ČESKOSLOVENSKÁ REPUBLIK,States/Provinces/Regions,1,orického musea v Plzni,Cult/Educational institution,1,Dobřan,Settlement name (City/Town),1,834 / 12,Number expression (General),1,Ječného,Surname,1,3,Number expression (General),1,Kosmas,Surname,1,10 .,Ordinal number,1,Kosmas,Personal name (General),1,403,Number expression (General),1,Dobřanech,Settlement name (City/Town),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600357,Hradiště,Settlement name (City/Town),4,Grégra,Surname,2,Klimenta,Personal name (General),2,PRAZE,Settlement name (City/Town),1,března,Month,1,1926,Year,1,Praha,Settlement name (City/Town),1,21051,Phone/Fax number,1,21065,Phone/Fax number,1,30,Cardinal number,1,Sázavě,Hydronym (Bodies of water),1,dr . Ed .,Complex personal names,1,1907,Year,1,Dštěni,Settlement name (City/Town),1,Klubu nár . strany svobodomyslné,Cult/Educational institution,1,Staroslovanská,Nature/Landscape name (Mountain/River),1,.,Itemizer (1.),1,Hradšti,Urban geographical name (Street/Square),1,Kosmas,Surname,1,Dštěn,Settlement name (City/Town),1
CTX192600445,Buchau,Settlement name (City/Town),2,Karlsbad,Settlement name (City/Town),1,1926,Year,1,2,Itemizer (1.),1,Donau,Settlement name (City/Town),1,Bodensee,Geographical name (General),1,Mainz,Settlement name (City/Town),1,Saalburg,Settlement name (City/Town),1,Nassauischen Bergland,Territorial name (State/Region),1,Trier,Settlement name (City/Town),1,Wiesbaden,Settlement name (City/Town),1,Baden - Baden,Settlement name (City/Town),1,D.Viollier,Complex personal names,1,Ztirich,Complex personal names,1,Engadin,Surname,1,,,0,,,0,,,0,,,0,,,0
CTX192600452,192,Number expression (General),2,.,Itemizer (1.),1,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,19,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600473,192.6,Year,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,1926,Year,1,"Datum AH / 1920 . . , č . za Pozdější spis :",Complex bibliographic expression,1,226,Number expression (General),1,19,Itemizer (1.),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600480,192,Year,1,STÁTNÍ ARCHAEOLOGICKÝ OSTAV V PRAZE,Cult/Educational institution,1,0,Cardinal number,1,19,Number expression (General),1,20,Number expression (General),1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600617,Leneschitz,Surname,2,Leneschitz,Settlement name (City/Town),2,m,Measure unit,2,P.B.Laun G . B . Laun,Complex personal names,1,4.6 . 1926,Complex time expressions,1,1,Cardinal number,1,2,Cardinal number,1,Der Rast des Grabes wurde nicht untersucht .,Cultural artifact (Book/Painting),1,J.Subrt,Complex personal names,1,Schulleiter,Cultural artifact (Book/Painting),1,G . Z .,Complex personal names,1,9.6 . 1926,Complex time expressions,1,J . Šubrt,Complex personal names,1,Schulleiter,Surname,1,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600642,1,Number expression (General),2,192.2,Number expression (General),1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,1926,Year,1,475,Number expression (General),1,4,Number expression (General),1,200,Cardinal number,1,MtPor,Measure unit,1,6,Cardinal number,1,m,Measure unit,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600645,1926,Year,2,Zemské četnické velitelství pro Čechy,Organization/Society,1,Kladné Senice Nová Huť,Settlement name (City/Town),1,Nižborcm,Settlement name (City/Town),1,645,Itemizer (1.),1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV C . j .,Cult/Educational institution,1,615,Phone/Fax number,1,Čechy,Territorial name (State/Region),1,Kladné,Settlement name (City/Town),1,Nižborem,Settlement name (City/Town),1,29,Number expression (General),1,050,Number expression (General),1,Rom,States/Provinces/Regions,1,STÁTNÍ ARCHAEOLOGICKY ÚSTAV V PRAZE,Cult/Educational institution,1,7,Number expression (General),1,19,Number expression (General),1,3,Number expression (General),1,77,Number expression (General),1,92,Year,1,,,0
CTX192600651,192,Year,1,6,Number expression (General),1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV V PRAZE,Cult/Educational institution,1,660 192 6,Number expression (General),1,6 / 1,Number expression (General),1,192 6,Number expression (General),1,Ig,Number expression (General),1,667,Number expression (General),1,19,Number expression (General),1,23 / 17,Cardinal number,1,49,Cardinal number,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
CTX192600660,Ješíně,Settlement name (City/Town),2,ATNÍ ARCHAEOLOGICKÝ ÚSTAV Č . j .,Cult/Educational institution,1,660,Phone/Fax number,1,1926,Year,1,4,Number expression (General),1,26,Number expression (General),1,Karel Buchtela,Complex personal names,1,Dr.J.Bohm.Na okresní politické správě,Complex personal names,1,Másnera,Surname,1,3,Cardinal number,1,6,Cardinal number,1,cm,Measure unit,1,Noppenring,Settlement name (City/Town),1,Velvar,Settlement name (City/Town),1,Mráčnici,Hydronym (Bodies of water),1,7,Cardinal number,1,1,Cardinal number,1,1.50,Cardinal number,1,m,Measure unit,1,Jihu,Geographical name (General),1
CTX192600663,Wolfersdorf,Settlement name (City/Town),1,.,Itemizer (1.),1,STATNÍ ARCHAEOLOGICKÝ ÚSTAV,Cult/Educational institution,1,1926,Year,1,Haidaer Zeitung,Periodical name (Newspaper/Magazine),1,"5* 6 , 1926",Complex time expressions,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
